length,width,ratio,petiole_length,angle,species
12.3,6.7,1.84,0.4,74,creamColour_ixora
11.1,6.4,1.73,0.3,71,creamColour_ixora
11.8,6.7,1.76,0.3,84,creamColour_ixora
11.25,5.8,1.94,0.2,77,creamColour_ixora
11.7,6.6,1.77,0.3,71,creamColour_ixora
11.9,6,1.98,0.4,71,creamColour_ixora
11.5,5.9,1.95,0.4,73,creamColour_ixora
12.2,5.7,2.14,0.4,76,creamColour_ixora
11.2,5.9,1.9,0.3,74,creamColour_ixora
11.7,6.2,1.89,0.3,64,creamColour_ixora
11.9,4.5,2.64,0.9,45,guava
12.5,5,2.5,1.1,45,guava
12.4,4.5,2.76,1,50,guava
12.7,5.2,2.44,0.8,50,guava
10.9,4.5,2.42,0.8,40,guava
13.3,5.2,2.56,1,51,guava
13.9,5.6,2.48,1.1,48,guava
13.1,5.2,2.52,0.8,49,guava
13.3,5.8,2.29,0.8,45,guava
14.8,5.8,2.55,1,50,guava
11.3,6.35,1.78,1.5,61,jackfruit
12.2,6.91,1.77,1.8,60,jackfruit
14.6,8.1,1.8,1.8,61,jackfruit
14.3,7.8,1.83,1.7,62,jackfruit
12.7,6.6,1.92,1.8,60,jackfruit
15.4,7.7,2,1.6,61,jackfruit
13.1,7.1,1.85,1.8,63,jackfruit
13.6,7.05,1.93,1.8,60,jackfruit
13.5,8.1,1.67,1.2,60,jackfruit
15.05,8.4,1.79,1.6,58,jackfruit
11.2,5.9,1.9,0.4,74,creamColour_ixora
11,5.7,1.93,0.3,72,creamColour_ixora
10.2,5.3,1.92,0.3,68,creamColour_ixora
12.2,5.8,2.1,0.4,72,creamColour_ixora
12.1,6.4,1.89,0.3,71,creamColour_ixora
13.3,7.1,1.87,1.4,54,jackfruit
12.7,7.4,1.72,1.9,60,jackfruit
13.75,7.05,1.95,1.9,60,jackfruit
12.9,7.25,1.78,1.7,58,jackfruit
15,8,1.88,1.6,56,jackfruit
12.2,5.4,2.26,0.9,50,guava
13.7,5.6,2.45,1,50,guava
13.6,5,2.72,0.8,50,guava
12,5,2.4,0.8,46,guava
11.3,4.7,2.4,0.8,44,guava
15,8.1,1.85,1.7,65,jackfruit
14.3,7.9,1.81,1.6,65,jackfruit
12.2,7.2,1.69,2.2,62,jackfruit
13,7.1,1.83,2.1,64,jackfruit
